medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Silver Medal,2,2021-07-26,ELSHARABATY S,ELSHARABATY Saleh,M,JOR,TKW,Men -80kg,Jordan,Taekwondo
Bronze Medal,3,2021-07-26,KANAET T,KANAET Toni,M,CRO,TKW,Men -80kg,Croatia,Taekwondo
Bronze Medal,3,2021-07-26,EISSA S,EISSA Seif,M,EGY,TKW,Men -80kg,Egypt,Taekwondo
Gold Medal,1,2021-07-26,JELIC M,JELIC Matea,W,CRO,TKW,Women -67kg,Croatia,Taekwondo
Silver Medal,2,2021-07-26,WILLIAMS L,WILLIAMS Lauren,W,GBR,TKW,Women -67kg,Great Britain,Taekwondo
Bronze Medal,3,2021-07-26,GBAGBI R,GBAGBI Ruth,W,CIV,TKW,Women -67kg,Côte d'Ivoire,Taekwondo
Bronze Medal,3,2021-07-26,MALAK H,MALAK Hedaya,W,EGY,TKW,Women -67kg,Egypt,Taekwondo
Gold Medal,1,2021-07-26,BLUMMENFELT K,BLUMMENFELT Kristian,M,NOR,TRI,Men's Individual,Norway,Triathlon
Silver Medal,2,2021-07-26,YEE A,YEE Alex,M,GBR,TRI,Men's Individual,Great Britain,Triathlon
Bronze Medal,3,2021-07-26,WILDE H,WILDE Hayden,M,NZL,TRI,Men's Individual,New Zealand,Triathlon
Gold Medal,1,2021-07-26,DIAZ H,DIAZ Hidilyn,W,PHI,WLF,Women's 55kg,Philippines,Weightlifting
Silver Medal,2,2021-07-26,LIAO Q,LIAO Qiuyun,W,CHN,WLF,Women's 55kg,People's Republic of China,Weightlifting
Bronze Medal,3,2021-07-26,CHINSHANLO Z,CHINSHANLO Zulfiya,W,KAZ,WLF,Women's 55kg,Kazakhstan,Weightlifting
Gold Medal,1,2021-07-27,AKHAIMOVA L,AKHAIMOVA Liliia,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-27,MELNIKOVA A,MELNIKOVA Angelina,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-27,URAZOVA V,URAZOVA Vladislava,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-27,LISTUNOVA V,LISTUNOVA Viktoriia,W,ROC,GAR,Women's Team,ROC,Artistic Gymnastics
Silver Medal,2,2021-07-27,Mc CALLUM G,Mc CALLUM Grace,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Silver Medal,2,2021-07-27,LEE S,LEE Sunisa,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Silver Medal,2,2021-07-27,CHILES J,CHILES Jordan,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Silver Medal,2,2021-07-27,BILES S,BILES Simone,W,USA,GAR,Women's Team,United States of America,Artistic Gymnastics
Bronze Medal,3,2021-07-27,GADIROVA J,GADIROVA Jennifer,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
Bronze Medal,3,2021-07-27,GADIROVA J,GADIROVA Jessica,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
Bronze Medal,3,2021-07-27,KINSELLA A,KINSELLA Alice,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
Bronze Medal,3,2021-07-27,MORGAN A,MORGAN Amelie,W,GBR,GAR,Women's Team,Great Britain,Artistic Gymnastics
Gold Medal,1,2021-07-27,UENO Y,UENO Yukiko,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,GOTO M,GOTO Miu,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,FUJITA Y,FUJITA Yamato,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,AGATSUMA H,AGATSUMA Haruka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,KIYOHARA N,KIYOHARA Nayu,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,ATSUMI M,ATSUMI Mana,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,ICHIGUCHI Y,ICHIGUCHI Yuka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,KAWABATA H,KAWABATA Hitomi,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,NAITO M,NAITO Minori,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,YAMAMOTO Y,YAMAMOTO Yu,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,HARADA N,HARADA Nodoka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,MORI S,MORI Sayaka,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,YAMAZAKI S,YAMAZAKI Saki,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,YAMADA E,YAMADA Eri,W,JPN,BSB,Softball,Japan,Baseball/Softball
Gold Medal,1,2021-07-27,MINE Y,MINE Yukiyo,W,JPN,BSB,Softball,Japan,Baseball/Softball
Silver Medal,2,2021-07-27,AGUILAR A,AGUILAR Ali,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,CARDA A,CARDA Ally,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,CHIDESTER A,CHIDESTER Amanda,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,MUNRO A,MUNRO Aubree,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,MULIPOLA D,MULIPOLA Dejah,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,SPAULDING D,SPAULDING Delaney,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,Mc CLENEY H,Mc CLENEY Haylie,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,REED J,REED Janie,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,MOULTRIE M,MOULTRIE Michelle,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,NICKLES B,NICKLES Bubba,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,GARCIA R,GARCIA Rachel,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,ARIOTO V,ARIOTO Valerie,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,OSTERMAN C,OSTERMAN Cat,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,STEWART K,STEWART Kelsey,W,USA,BSB,Softball,United States of America,Baseball/Softball
Silver Medal,2,2021-07-27,ABBOTT M,ABBOTT Monica,W,USA,BSB,Softball,United States of America,Baseball/Softball
Bronze Medal,3,2021-07-27,CAIRA J,CAIRA Jenna,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,ENTZMINGER E,ENTZMINGER Emma,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,FRANKLIN L,FRANKLIN Larissa,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,GILBERT J,GILBERT Jen,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,GROENEWEGEN S,GROENEWEGEN Sara,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,HAYWARD V,HAYWARD Victoria,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,HARSHMAN K,HARSHMAN Kelsey,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,LAWRIE D,LAWRIE Danielle,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,LEUNG J,LEUNG Janet,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,LYE J,LYE Joey,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,POLIDORI E,POLIDORI Erika,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,RAFTER K,RAFTER Kaleigh,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,REGULA L,REGULA Lauren,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,SALLING J,SALLING Jenn,W,CAN,BSB,Softball,Canada,Baseball/Softball
Bronze Medal,3,2021-07-27,WIDEMAN N,WIDEMAN Natalie,W,CAN,BSB,Softball,Canada,Baseball/Softball
Gold Medal,1,2021-07-27,FUNK R,FUNK Ricarda,W,GER,CSL,Women's Kayak,Germany,Canoe Slalom
Silver Medal,2,2021-07-27,CHOURRAUT M,CHOURRAUT Maialen,W,ESP,CSL,Women's Kayak,Spain,Canoe Slalom
Bronze Medal,3,2021-07-27,FOX J,FOX Jessica,W,AUS,CSL,Women's Kayak,Australia,Canoe Slalom
Gold Medal,1,2021-07-27,NEFF J,NEFF Jolanda,W,SUI,MTB,Women's Cross-country,Switzerland,Cycling Mountain Bike
Silver Medal,2,2021-07-27,FREI S,FREI Sina,W,SUI,MTB,Women's Cross-country,Switzerland,Cycling Mountain Bike
Bronze Medal,3,2021-07-27,INDERGAND L,INDERGAND Linda,W,SUI,MTB,Women's Cross-country,Switzerland,Cycling Mountain Bike
Gold Medal,1,2021-07-27,CHEN Y,CHEN Yuxi,W,CHN,DIV,Women's Synchronised 10m Platform,People's Republic of China,Diving
Gold Medal,1,2021-07-27,ZHANG J,ZHANG Jiaqi,W,CHN,DIV,Women's Synchronised 10m Platform,People's Republic of China,Diving
Silver Medal,2,2021-07-27,SCHNELL D,SCHNELL Delaney,W,USA,DIV,Women's Synchronised 10m Platform,United States of America,Diving
Silver Medal,2,2021-07-27,PARRATTO J,PARRATTO Jessica,W,USA,DIV,Women's Synchronised 10m Platform,United States of America,Diving
Bronze Medal,3,2021-07-27,AGUNDEZ GARCIA G,AGUNDEZ GARCIA Gabriela,W,MEX,DIV,Women's Synchronised 10m Platform,Mexico,Diving
Bronze Medal,3,2021-07-27,OROZCO LOZA A,OROZCO LOZA Alejandra,W,MEX,DIV,Women's Synchronised 10m Platform,Mexico,Diving
Gold Medal,1,2021-07-27,WERTH I,WERTH Isabell,O,GER,EQU,Dressage Team,Germany,Equestrian
Gold Medal,1,2021-07-27,von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,O,GER,EQU,Dressage Team,Germany,Equestrian
Gold Medal,1,2021-07-27,SCHNEIDER D,SCHNEIDER Dorothee,O,GER,EQU,Dressage Team,Germany,Equestrian
Silver Medal,2,2021-07-27,LYLE A,LYLE Adrienne,O,USA,EQU,Dressage Team,United States of America,Equestrian
Silver Medal,2,2021-07-27,SCHUT-KERY S,SCHUT-KERY Sabine,O,USA,EQU,Dressage Team,United States of America,Equestrian
Silver Medal,2,2021-07-27,PETERS S,PETERS Steffen,O,USA,EQU,Dressage Team,United States of America,Equestrian
Bronze Medal,3,2021-07-27,DUJARDIN C,DUJARDIN Charlotte,O,GBR,EQU,Dressage Team,Great Britain,Equestrian
Bronze Medal,3,2021-07-27,FRY C,FRY Charlotte,O,GBR,EQU,Dressage Team,Great Britain,Equestrian
Bronze Medal,3,2021-07-27,HESTER C,HESTER Carl,O,GBR,EQU,Dressage Team,Great Britain,Equestrian
Gold Medal,1,2021-07-27,BELJAJEVA J,BELJAJEVA Julia,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Gold Medal,1,2021-07-27,LEHIS K,LEHIS Katrina,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Gold Medal,1,2021-07-27,KIRPU E,KIRPU Erika,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Gold Medal,1,2021-07-27,EMBRICH I,EMBRICH Irina,W,EST,FEN,Women's &Eacute;p&eacute;e Team,Estonia,Fencing
Silver Medal,2,2021-07-27,CHOI I,CHOI Injeong,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,2021-07-27,LEE H,LEE Hyein,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,2021-07-27,KANG YM,KANG Young Mi,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,2021-07-27,SONG S,SONG Sera,W,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-27,SANTUCCIO A,SANTUCCIO Alberta,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,2021-07-27,ISOLA F,ISOLA Federica,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,2021-07-27,FIAMINGO R,FIAMINGO Rossella,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,2021-07-27,NAVARRIA M,NAVARRIA Mara,W,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Gold Medal,1,2021-07-27,NAGASE T,NAGASE Takanori,M,JPN,JUD,Men -81 kg,Japan,Judo
Silver Medal,2,2021-07-27,MOLLAEI S,MOLLAEI Saeid,M,MGL,JUD,Men -81 kg,Mongolia,Judo
Bronze Medal,3,2021-07-27,BORCHASHVILI S,BORCHASHVILI Shamil,M,AUT,JUD,Men -81 kg,Austria,Judo
Bronze Medal,3,2021-07-27,CASSE M,CASSE Matthias,M,BEL,JUD,Men -81 kg,Belgium,Judo
Gold Medal,1,2021-07-27,AGBEGNENOU C,AGBEGNENOU Clarisse,W,FRA,JUD,Women -63 kg,France,Judo
Silver Medal,2,2021-07-27,TRSTENJAK T,TRSTENJAK Tina,W,SLO,JUD,Women -63 kg,Slovenia,Judo
Bronze Medal,3,2021-07-27,BEAUCHEMIN-PINARD,BEAUCHEMIN-PINARD Catherine,W,CAN,JUD,Women -63 kg,Canada,Judo
Bronze Medal,3,2021-07-27,CENTRACCHIO M,CENTRACCHIO Maria,W,ITA,JUD,Women -63 kg,Italy,Judo
Gold Medal,1,2021-07-27,JIANG R,JIANG Ranxin,W,CHN,SHO,10m Air Pistol Mixed Team,People's Republic of China,Shooting
Gold Medal,1,2021-07-27,PANG W,PANG Wei,W,CHN,SHO,10m Air Pistol Mixed Team,People's Republic of China,Shooting
Silver Medal,2,2021-07-27,BATSARASHKINA V,BATSARASHKINA Vitalina,W,ROC,SHO,10m Air Pistol Mixed Team,ROC,Shooting
Silver Medal,2,2021-07-27,CHERNOUSOV A,CHERNOUSOV Artem,W,ROC,SHO,10m Air Pistol Mixed Team,ROC,Shooting
Bronze Medal,3,2021-07-27,KOSTEVYCH O,KOSTEVYCH Olena,W,UKR,SHO,10m Air Pistol Mixed Team,Ukraine,Shooting
Bronze Medal,3,2021-07-27,OMELCHUK O,OMELCHUK Oleh,W,UKR,SHO,10m Air Pistol Mixed Team,Ukraine,Shooting
Gold Medal,1,2021-07-27,YANG Q,YANG Qian,W,CHN,SHO,10m Air Rifle Mixed Team,People's Republic of China,Shooting
Gold Medal,1,2021-07-27,YANG H,YANG Haoran,W,CHN,SHO,10m Air Rifle Mixed Team,People's Republic of China,Shooting
Silver Medal,2,2021-07-27,KOZENIESKY L,KOZENIESKY Lucas,W,USA,SHO,10m Air Rifle Mixed Team,United States of America,Shooting
Silver Medal,2,2021-07-27,TUCKER MC,TUCKER Mary Carolynn,W,USA,SHO,10m Air Rifle Mixed Team,United States of America,Shooting
Bronze Medal,3,2021-07-27,KARIMOVA Y,KARIMOVA Yulia,W,ROC,SHO,10m Air Rifle Mixed Team,ROC,Shooting
Bronze Medal,3,2021-07-27,KAMENSKIY S,KAMENSKIY Sergey,W,ROC,SHO,10m Air Rifle Mixed Team,ROC,Shooting
Gold Medal,1,2021-07-27,FERREIRA I,FERREIRA Italo,M,BRA,SRF,Men,Brazil,Surfing
Silver Medal,2,2021-07-27,IGARASHI K,IGARASHI Kanoa,M,JPN,SRF,Men,Japan,Surfing
Bronze Medal,3,2021-07-27,WRIGHT O,WRIGHT Owen,M,AUS,SRF,Men,Australia,Surfing
Gold Medal,1,2021-07-27,MOORE C,MOORE Carissa,W,USA,SRF,Women,United States of America,Surfing
Silver Medal,2,2021-07-27,BUITENDAG B,BUITENDAG Bianca,W,RSA,SRF,Women,South Africa,Surfing
Bronze Medal,3,2021-07-27,TSUZUKI A,TSUZUKI Amuro,W,JPN,SRF,Women,Japan,Surfing
Gold Medal,1,2021-07-27,RYLOV E,RYLOV Evgeny,M,ROC,SWM,Men's 100m Backstroke,ROC,Swimming
Silver Medal,2,2021-07-27,KOLESNIKOV K,KOLESNIKOV Kliment,M,ROC,SWM,Men's 100m Backstroke,ROC,Swimming
Bronze Medal,3,2021-07-27,MURPHY R,MURPHY Ryan,M,USA,SWM,Men's 100m Backstroke,United States of America,Swimming
Gold Medal,1,2021-07-27,DEAN T,DEAN Tom,M,GBR,SWM,Men's 200m Freestyle,Great Britain,Swimming
Silver Medal,2,2021-07-27,SCOTT D,SCOTT Duncan,M,GBR,SWM,Men's 200m Freestyle,Great Britain,Swimming
Bronze Medal,3,2021-07-27,SCHEFFER F,SCHEFFER Fernando,M,BRA,SWM,Men's 200m Freestyle,Brazil,Swimming
Gold Medal,1,2021-07-27,McKEOWN K,McKEOWN Kaylee,W,AUS,SWM,Women's 100m Backstroke,Australia,Swimming
Silver Medal,2,2021-07-27,MASSE K,MASSE Kylie,W,CAN,SWM,Women's 100m Backstroke,Canada,Swimming
Bronze Medal,3,2021-07-27,SMITH R,SMITH Regan,W,USA,SWM,Women's 100m Backstroke,United States of America,Swimming
Gold Medal,1,2021-07-27,JACOBY L,JACOBY Lydia,W,USA,SWM,Women's 100m Breaststroke,United States of America,Swimming
Silver Medal,2,2021-07-27,SCHOENMAKER T,SCHOENMAKER Tatjana,W,RSA,SWM,Women's 100m Breaststroke,South Africa,Swimming
Bronze Medal,3,2021-07-27,KING L,KING Lilly,W,USA,SWM,Women's 100m Breaststroke,United States of America,Swimming
Gold Medal,1,2021-07-27,LARIN V,LARIN Vladislav,M,ROC,TKW,Men +80kg,ROC,Taekwondo
Silver Medal,2,2021-07-27,GEORGIEVSKI D,GEORGIEVSKI Dejan,M,MKD,TKW,Men +80kg,North Macedonia,Taekwondo
Bronze Medal,3,2021-07-27,IN KD,IN Kyo Don,M,KOR,TKW,Men +80kg,Republic of Korea,Taekwondo
Bronze Medal,3,2021-07-27,ALBA CASTILLO RY,ALBA CASTILLO Rafael Yunier,M,CUB,TKW,Men +80kg,Cuba,Taekwondo
Gold Medal,1,2021-07-27,MANDIC M,MANDIC Milica,W,SRB,TKW,Women +67kg,Serbia,Taekwondo
Silver Medal,2,2021-07-27,LEE D,LEE Dabin,W,KOR,TKW,Women +67kg,Republic of Korea,Taekwondo
Bronze Medal,3,2021-07-27,LAURIN A,LAURIN Althea,W,FRA,TKW,Women +67kg,France,Taekwondo
Bronze Medal,3,2021-07-27,WALKDEN B,WALKDEN Bianca,W,GBR,TKW,Women +67kg,Great Britain,Taekwondo
Gold Medal,1,2021-07-27,DUFFY F,DUFFY Flora,W,BER,TRI,Women's Individual,Bermuda,Triathlon
Silver Medal,2,2021-07-27,TAYLOR-BROWN G,TAYLOR-BROWN Georgia,W,GBR,TRI,Women's Individual,Great Britain,Triathlon
Bronze Medal,3,2021-07-27,ZAFERES K,ZAFERES Katie,W,USA,TRI,Women's Individual,United States of America,Triathlon
Gold Medal,1,2021-07-27,KUO HC,KUO Hsing-Chun,W,TPE,WLF,Women's 59kg,Chinese Taipei,Weightlifting
Silver Medal,2,2021-07-27,GURYEVA P,GURYEVA Polina,W,TKM,WLF,Women's 59kg,Turkmenistan,Weightlifting
Bronze Medal,3,2021-07-27,ANDOH M,ANDOH Mikiko,W,JPN,WLF,Women's 59kg,Japan,Weightlifting
Gold Medal,1,2021-07-27,CHARRON MG,CHARRON Maude G,W,CAN,WLF,Women's 64kg,Canada,Weightlifting
Silver Medal,2,2021-07-27,BORDIGNON G,BORDIGNON Giorgia,W,ITA,WLF,Women's 64kg,Italy,Weightlifting
Bronze Medal,3,2021-07-27,CHEN WH,CHEN Wen-Huei,W,TPE,WLF,Women's 64kg,Chinese Taipei,Weightlifting
Gold Medal,1,2021-07-28,MIEZIS N,MIEZIS Nauris,M,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,2021-07-28,LASMANIS K,LASMANIS Karlis,M,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,2021-07-28,CAVARS A,CAVARS Agnis,M,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,2021-07-28,KRUMINS E,KRUMINS Edgars,M,LAT,BK3,Men,Latvia,3x3 Basketball
Silver Medal,2,2021-07-28,ZUEV A,ZUEV Alexander,M,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,2021-07-28,KARPENKOV I,KARPENKOV Ilia,M,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,2021-07-28,PISKLOV K,PISKLOV Kirill,M,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,2021-07-28,SHAROV S,SHAROV Stanislav,M,ROC,BK3,Men,ROC,3x3 Basketball
Bronze Medal,3,2021-07-28,DOMOVIC BULUT D,DOMOVIC BULUT Dusan,M,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,2021-07-28,MAJSTOROVIC D,MAJSTOROVIC Dejan,M,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,2021-07-28,RATKOV A,RATKOV Aleksandar,M,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,2021-07-28,VASIC M,VASIC Mihailo,M,SRB,BK3,Men,Serbia,3x3 Basketball
Gold Medal,1,2021-07-28,YOUNG J,YOUNG Jacquelyn,W,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,2021-07-28,GRAY A,GRAY Allisha,W,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,2021-07-28,PLUM K,PLUM Kelsey,W,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,2021-07-28,DOLSON S,DOLSON Stefanie,W,USA,BK3,Women,United States of America,3x3 Basketball
Silver Medal,2,2021-07-28,KOZIK Y,KOZIK Yulia,W,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,2021-07-28,LOGUNOVA A,LOGUNOVA Anastasiia,W,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,2021-07-28,FROLKINA E,FROLKINA Evgeniia,W,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,2021-07-28,FROLKINA O,FROLKINA Olga,W,ROC,BK3,Women,ROC,3x3 Basketball
Bronze Medal,3,2021-07-28,ZHANG Z,ZHANG Zhiting,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,2021-07-28,WAN J,WAN Jiyuan,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,2021-07-28,YANG S,YANG Shuyu,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,2021-07-28,WANG L,WANG Lili,W,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Gold Medal,1,2021-07-28,HASHIMOTO D,HASHIMOTO Daiki,M,JPN,GAR,Men's All-Around,Japan,Artistic Gymnastics
Silver Medal,2,2021-07-28,XIAO R,XIAO Ruoteng,M,CHN,GAR,Men's All-Around,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,2021-07-28,NAGORNYY N,NAGORNYY Nikita,M,ROC,GAR,Men's All-Around,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-28,ROGLIC P,ROGLIC Primoz,M,SLO,CRD,Men's Individual Time Trial,Slovenia,Cycling Road
Silver Medal,2,2021-07-28,DUMOULIN T,DUMOULIN Tom,M,NED,CRD,Men's Individual Time Trial,Netherlands,Cycling Road
Bronze Medal,3,2021-07-28,DENNIS R,DENNIS Rohan,M,AUS,CRD,Men's Individual Time Trial,Australia,Cycling Road
Gold Medal,1,2021-07-28,van VLEUTEN A,van VLEUTEN Annemiek,W,NED,CRD,Women's Individual Time Trial,Netherlands,Cycling Road
Silver Medal,2,2021-07-28,REUSSER M,REUSSER Marlen,W,SUI,CRD,Women's Individual Time Trial,Switzerland,Cycling Road
Bronze Medal,3,2021-07-28,van der BREGGEN A,van der BREGGEN Anna,W,NED,CRD,Women's Individual Time Trial,Netherlands,Cycling Road
Gold Medal,1,2021-07-28,WANG Z,WANG Zongyuan,M,CHN,DIV,Men's Synchronised 3m Springboard,People's Republic of China,Diving
Gold Medal,1,2021-07-28,XIE S,XIE Siyi,M,CHN,DIV,Men's Synchronised 3m Springboard,People's Republic of China,Diving
Silver Medal,2,2021-07-28,CAPOBIANCO A,CAPOBIANCO Andrew,M,USA,DIV,Men's Synchronised 3m Springboard,United States of America,Diving
Silver Medal,2,2021-07-28,HIXON M,HIXON Michael,M,USA,DIV,Men's Synchronised 3m Springboard,United States of America,Diving
Bronze Medal,3,2021-07-28,HAUSDING P,HAUSDING Patrick,M,GER,DIV,Men's Synchronised 3m Springboard,Germany,Diving
Bronze Medal,3,2021-07-28,RUDIGER L,RUDIGER Lars,M,GER,DIV,Men's Synchronised 3m Springboard,Germany,Diving
Gold Medal,1,2021-07-28,von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,O,GER,EQU,Dressage Individual,Germany,Equestrian
Silver Medal,2,2021-07-28,WERTH I,WERTH Isabell,O,GER,EQU,Dressage Individual,Germany,Equestrian
Bronze Medal,3,2021-07-28,DUJARDIN C,DUJARDIN Charlotte,O,GBR,EQU,Dressage Individual,Great Britain,Equestrian
Gold Medal,1,2021-07-28,OH S,OH Sanguk,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-28,KIM J,KIM Junho,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-28,KIM J,KIM Junghwan,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-28,GU B,GU Bongil,M,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Silver Medal,2,2021-07-28,MONTANO A,MONTANO Aldo,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,2021-07-28,SAMELE L,SAMELE Luigi,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,2021-07-28,BERRE' E,BERRE' Enrico,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,2021-07-28,CURATOLI L,CURATOLI Luca,M,ITA,FEN,Men's Sabre Team,Italy,Fencing
Bronze Medal,3,2021-07-28,SZILAGYI A,SZILAGYI Aron,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,2021-07-28,SZATMARI A,SZATMARI Andras,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,2021-07-28,DECSI T,DECSI Tamas,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,2021-07-28,GEMESI C,GEMESI Csanad,M,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Gold Medal,1,2021-07-28,BEKAURI L,BEKAURI Lasha,M,GEO,JUD,Men -90 kg,Georgia,Judo
